Surname,Awards,Education,DBLP Info
Emerson,2,"Emerson was born in Dallas, Texas. His early experiences with computing included exposure to BASIC, Fortran, and ALGOL 60 on the Dartmouth Time Sharing System and Burroughs large systems computers.[1] He went on to receive a Bachelor of Science degree in mathematics from the University of Texas at Austin in 1976 and a Doctor of Philosophy degree in applied mathematics at Harvard University in 1981.[1]",119
Engelbart,9,"Engelbart was born in Portland, Oregon, on January 30, 1925, to Carl Louis Engelbart and Gladys Charlotte Amelia Munson Engelbart. His ancestors were of German, Swedish and Norwegian descent.[7] He was the middle of three children, with a sister Dorianne (three years older), and a brother David (14 months younger). The family lived in Portland, Oregon, in his early years, and moved to the surrounding countryside along Johnson Creek when he was 8. His father died one year later. He graduated from Portland's Franklin High School in 1942.[8] Midway through",18
Engelhardt,1,"Engelhardt received a Bachelor of Science in Symbolic Systems and a Master of Science in Computer Science from Stanford University. She received a PhD in 2008 from the University of California, Berkeley supervised by Michael I. Jordan.[3]",61
Eppstein,0,"Born in Windsor, England, in 1963, Eppstein received a B.S. in mathematics from Stanford University in 1984, and later an M.S. (1985) and Ph.D. (1989) in computer science from Columbia University, after which he took a postdoctoral position at Xerox's Palo Alto Research Center.[5] He joined the UC Irvine faculty in 1990, and was co-chair of the Computer Science Department there from 2002 to 2005.[6] In 2014, he was named a Chancellor's Professor.[7] In October 2017, Eppstein was one of 396 members elected as fellows of the American Association for",677
Etzioni,1,"Etzioni is the son of Israeli-American intellectual Amitai Etzioni.[6] He was the first student to major in computer science at Harvard University, where he earned a bachelor's degree in 1986. He earned a PhD from Carnegie Mellon University in January, 1991, supervised by Tom M. Mitchell.[7]",187
Evans,0,"Born in Aberdyfi, Christopher Evans spent his childhood in Wales and was educated at Christ College, Brecon (1941–49). He spent two years in the RAF (1950–52), and worked as a science journalist and writer until 1957, when he began a B.A. course in Psychology at University College London, graduating with honours in 1960. After a summer fellowship at Duke University in the United States, where he first met his American wife, Nancy Fullmer, he took up a research assistant post in the Physics Laboratory, University of Reading, working on eye",4
Evans,2,"Evans was born in Salt Lake City. He attended the University of Utah and studied electrical engineering; he earned his Bachelor of Science in Physics in 1949 and his Doctorate in Physics in 1953.[3] Evans first worked at the Bendix aviation electronics company, where he acted as project manager in 1955 to develop what some describe as an early personal computer that ran on an interpretive operating system. The Bendix G-15 was a bulky unit about the size of a two-door refrigerator. He stayed with the company just long enough",4
Feigenbaum,5,"Feigenbaum was born in Weehawken, New Jersey in 1936 to a culturally Jewish family, and moved to nearby North Bergen, where he lived until the age of 16, when he left to start college.[9][10] His hometown did not have a secondary school of its own, and so he chose Weehawken High School for its college preparatory program.[10][11] He was inducted into his high school's hall of fame in 1996.[12] Feigenbaum completed his undergraduate degree (1956), and a Ph.D. (1960),[2][13][14] at Carnegie Institute of Technology (now Carnegie Mellon University). In his",44
Felten,2,"Felten attended the California Institute of Technology and graduated with a degree in physics in 1985. He worked as a staff programmer at Caltech from 1986 to 1989 on a parallel supercomputer project at Caltech. He then enrolled as a graduate student in computer science at the University of Washington. He was awarded a Master of Science degree in 1991 and a Ph.D. in 1993. His Ph.D. thesis was on developing an automated protocol for communication between parallel processors. In 1993, he joined the faculty of Princeton University in the",112
Finin,2,Finin earned an undergraduate degree in Electrical Engineering from MIT in 1971 and a PhD in Computer Science from the University of Illinois at Urbana–Champaign in 1980.,357
Finkel,0,"Finkel was born in Chicago. He entered the University of Chicago, where he earned his BA in mathematics and MA in teaching. He then earned a PhD at Stanford University under the supervision of Vinton Cerf. Finkel is also an activist for the survival of the Yiddish language, promoting its use and providing fonts, various texts, and tools for writing Yiddish in personal computers.[6]",63
Firesmith,0,"Firesmith received his B.A. in Mathematics and German from Linfield College in 1975 and his M.A. in Mathematics from Arizona State University in 1977. He also studied one year at Ludwig Maximilian University of Munich. Firesmith started working in the computer business as a software developer in 1979 and has been quality engineer, configuration manager, and data manager for Computer Science Corporation in the US, Germany, and Switzerland. From 1984 to 1988 he was an OO methodologist at Magnavox Electronic Systems Corporation. And from 1988 to 1995 he was President",60
Floyd,0,"Born in Charlottesville, Virginia, Floyd received a BA in Sociology from the University of California - Berkeley in 1971. She received an MS in Computer Science in 1987 and a PhD in 1989, both from UC - Berkeley.[5] Her PhD was completed under the supervision of Richard M. Karp.[1] Floyd is best known in the field of congestion control as the inventor of Random Early Detection (""RED"") active queue management scheme, thus founding the field of Active Queue Management (AQM) with Van Jacobson.[3] Almost all Internet routers use RED or",83
Foley,6,"Foley was born in Pennsylvania. He attended Lehigh University in Bethlehem, Pennsylvania, where he graduated with a bachelor's degree in electrical engineering in 1964. Foley was initiated into the Phi Beta Kappa Society and Tau Beta Pi while at Lehigh. He received his Ph.D. in computer, information, and control engineering from the University of Michigan in 1969.[5]",109
Forbus,0,"Forbus earned a Bachelor of Science in computer science, Master of Science in computer science, and PhD in artificial intelligence from the Massachusetts Institute of Technology.[2]",208
Fortnow,4,"Lance Fortnow received a doctorate in applied mathematics from MIT in 1989,[1] supervised by Michael Sipser. Since graduation, he has been on the faculty of the University of Chicago (1989–1999, 2003–2007), Northwestern University (2008–2012) and the Georgia Institute of Technology (2012–2019) as chair of the School of Computer Science.[2][3] Fortnow was the founding editor-in-chief of the journal ACM Transactions on Computation Theory in 2009.[4] He was the chair of ACM SIGACT[5] and succeeded by Paul Beame. He was the chair of the IEEE Conference on Computational Complexity[6] from 2000 to",235
Fowler,0,"Fowler was born and grew up in Walsall, England, where he went to Queen Mary's Grammar School for his secondary education. He graduated at University College London in 1986. In 1994 he moved to the United States, where he lives near Boston, Massachusetts in the suburb of Melrose.[1] Fowler started working with software in the early 1980s. Out of university in 1986 he started working in software development for Coopers & Lybrand until 1991.[5] In 2000 he joined ThoughtWorks, a systems integration and consulting company,[1] where he serves as Chief",42
Franke,0,"Franke was born in Vienna on 14 May 1927.[1] Franke studied physics, mathematics, chemistry, psychology and philosophy in Vienna. He received his doctorate in theoretical physics in 1950 by writing a dissertation about electron optics. Since 1957, he worked as a freelance author. From 1973 to 1997 he held a lectureship in ""Cybernetical Aesthetic"" at Munich University (later computer graphics – computer art). In 1979, he co-founded Ars Electronica in Linz/Austria. In 1979 and 1980, he lectured in ""introduction to perception psychology"" at the Art & Design division of the",35
Fredkin,1,"Fredkin's mother and father were both Russian immigrants who met in Los Angeles, and he was the youngest child of four. His mother was a concert pianist, although she did not perform professionally. She died from cancer when he was 11. His father was a businessperson but had lost everything in the 1929 stock market crash and as a result, the family was relatively poor. At times he lived with other families or with his older sister. Eventually, his father remarried, and he and his sister moved back in. As",8
Fischer,7,"She obtained both a B.A. degree, with honors, in Mathematics and Chemistry and an M.A. degree in Applied Mathematics from the University of British Columbia in 1952 and 1954, respectively. She then obtained her Ph.D. in Applied Mathematics and Computing at Cambridge University in 1957, pursuing coursework in quantum theory with Paul Dirac. She worked under the supervision of Douglas Hartree, whom she assisted in programming the Electronic Delay Storage Automatic Calculator (EDSAC) for atomic-structure calculations. She served on the mathematics faculty of the University of British Columbia from 1957",19
Fu,0,"Ping Fu was born in 1958 in Nanjing, China,[6][7] where her father was a professor at the Nanjing University of Aeronautics and Astronautics (NUAA).[8] Fu spent her childhood and early adulthood in China. She grew up during the Cultural Revolution, during which she was separated from both her parents for several years.[9][10] After the end of the Cultural Revolution, she attended the college that later became the Suzhou University[7][11] studying Chinese literature.[12] Fu has related in interviews and in her memoir that she chose to research China's one-child policy for",75
Fukushima,0,"In 1958, Fukushima received his Bachelor of Engineering in electronics from Kyoto University.[1] He became a senior research scientist at the NHK Science & Technology Research Laboratories. In 1989, he joined the faculty of Osaka University.[1] In 1999, he joined the faculty of the University of Electro-Communications. In 2001, he joined the faculty of Tokyo University of Technology. From 2006 to 2010, he was a visiting professor at Kansai University.[1] Fukushima acted as founding president of the Japanese Neural Network Society (JNNS). He also was a founding member on the",88
Fulkerson,3,"D. R. Fulkerson was born in Tamms, Illinois, the third of six children of Elbert and Emma Fulkerson. Fulkerson became an undergraduate at Southern Illinois University. His academic career was interrupted by military service during World War II. Having returned to complete his degree after the war, he went on to do a Ph.D. in mathematics at the University of Wisconsin–Madison under the supervision of Cyrus MacDuffee, who was a student of L. E. Dickson. Fulkerson received his Ph.D. in 1951.[2]",9
Gabriel,2,"He was born in 1949, in the town of Merrimac in northeastern Massachusetts to two dairy farmers. He studied at Northeastern University, Boston, where he earned a B.A. in mathematics (1967–1972). As of 2019[update], he resides in Redwood City, California with his wife, Jo. He has a son named Joseph, and a daughter named Mariko, a Doctor of Physical Therapy in Los Altos, California. Subsequently, he pursued graduate studies in mathematics at MIT, from 1972 to 1973; he was tapped by Patrick Winston to become a permanent member of the",81
Galil,3,"Zvi Galil was born in Tel Aviv in Mandatory Palestine in 1947. He completed both his B.Sc. (1970) and his M.Sc. (1971) in applied mathematics, both summa cum laude, at Tel Aviv University before earning his Ph.D. in computer science at Cornell University in 1975 under the supervision of John Hopcroft.[1] He then spent a year working as a post-doctorate researcher at IBM's Thomas J. Watson Research Center in Yorktown Heights, New York.[8]",199
Galler,0,"Galler attended the University of Chicago where he earned a BSc in mathematics at the University of Chicago (1947), followed by a MSc from UCLA and a PhD from the University of Chicago (1955), advised by Paul Halmos and Marshall Stone. He joined the mathematics department at the University of Michigan (1955) where he taught the first programming course (1956) using an IBM 704. Galler helped to develop the computer language called the Michigan Algorithm Decoder (1959-) in use at several universities. He formed the Communication Sciences dept (1965), renamed",56
García-Molina,1,"Born in Monterrey, Nuevo León, Mexico, García-Molina graduated in 1974 with a bachelor's degree in Electrical Engineering from the Monterrey Institute of Technology and Higher Studies (ITESM) and received both a master's degree in Electrical Engineering (1975) and a doctorate in Computer Science (1979) from Stanford University. From 1979 to 1991, García-Molina worked as a professor of the Computer Science Department at Princeton University in New Jersey. In 1992 he joined the faculty of Stanford University as the Leonard Bosack and Sandra Lerner Professor in the Departments of Computer Science",463
Gates,4,"William Henry Gates III was born on October 28, 1955, in Seattle, Washington[13]as the only son of William H. Gates Sr.[b] (1925–2020) and his first wife, Mary Maxwell Gates (1929–1994).[14] His ancestry includes English, German, and Irish/Scots-Irish.[15] His father was a prominent lawyer, and his mother served on the board of directors of First Interstate BancSystem and United Way of America. Gates's maternal grandfather was J. W. Maxwell, a national bank president. He also has an older sister Kristi (Kristianne) and a younger sister Libby. He is the fourth of",2
Gelernter,1,"Gelernter grew up on Long Island, New York.[2] His father Herbert Gelernter was a physicist who, in the late 1950s and 1960s, became a pioneer in artificial intelligence and taught computer science at State University of New York at Stony Brook.[3][4] Gelernter's grandfather was a rabbi, and Gelernter grew up as a Reform Jew; he later became a follower of Orthodox Judaism.[5] He received his Bachelor of Arts and Master of Arts degrees in Classical Hebrew literature from Yale University in 1976.[6] He earned his Ph.D. from State University of",66
Geschke,4,"Charles Matthew Geschke[4] was born in Cleveland, Ohio, on September 11, 1939.[5] He attended Saint Ignatius High School.[6] Geschke earned an AB in classics in 1962 and an MS in mathematics in 1963, both from Xavier University.[5] He taught mathematics at John Carroll University from 1963 to 1968.[7] In 1972, he completed his PhD studies in computer science at Carnegie Mellon University under the advice of William Wulf.[4] He was a co-author of Wulf's 1975 book The Design of an Optimizing Compiler.[8]",10
Ghahramani,2,"Ghahramani was educated at the American School of Madrid in Spain and the University of Pennsylvania where he was awarded a double major degree in Cognitive Science and Computer Science in 1990.[5] He obtained his Ph.D. from the Department of Brain and Cognitive Sciences at the Massachusetts Institute of Technology, supervised by Michael I. Jordan and Tomaso Poggio.[4][10]",322
Ghemawat,1,"Ghemawat studied at Cornell University and the Massachusetts Institute of Technology (MIT).[3] He obtained a PhD from MIT in 1995, with a dissertation titled, The Modified Object Buffer: A Storage Management Technique for Object-Oriented Databases. His advisors were Barbara Liskov and Frans Kaashoek.[6] Before joining Google, Ghemawat worked at the DEC Systems Research Center. There he began his long-time collaboration with Jeff Dean, who worked at another DEC research lab nearby. Their work at DEC included a Java compiler and a system profiling tool.[5]",28
Gilbert,0,"Ph.D., University of Cincinnati, Cincinnati, Ohio, 2000 (Computer Science); dissertation: ""Arthur: An Intelligent Tutoring System with Adaptive Instruction""[11]",130
Ginsburg,0,"Seymour Ginsburg received his B.S. from City College of New York in 1948, where along with fellow student Martin Davis he attended an honors mathematics class taught by Emil Post.[1] He earned a Ph.D. in Mathematics from the University of Michigan in 1952, studying under Ben Dushnik. Ginsburg's professional career began in 1951 when he accepted a position as assistant professor of mathematics at the University of Miami in Coral Gables, Florida. He turned his attention wholly towards computer science in 1955 when he moved to California to work for",117
Glass,0,"Glass held his first job in computing in 1954. He worked from 1954 to 1957 in the aerospace industry at North American Aviation, from 1957 to 1965 at Aerojet-General Corp. and from 1965 to 1982 at Boeing Company, where he built software tools used by applications specialists.[4] Between 1970 and 1972, Glass had worked on a tools-focused research grant at the University of Washington. From 1982 to 1987, he taught in the Software Engineering graduate program at Seattle University, and subsequently spent a year at the Software Engineering Institute.[4] Early",297
Gödel,4,"Gödel held his first job in computing in 1954. He worked from 1954 to 1957 in the aerospace indus  children were raised as Protestants. The ancestors of Kurt Gödel were often active in Brünn's cultural life. For example, his grandfather Joseph Gödel was a",1
Goguen,0,"Goguen received his bachelor's degree in mathematics from Harvard University in 1963, and his PhD in mathematics from the University of California, Berkeley in 1968, where he was a student of the founder of fuzzy set theory, Lotfi Zadeh.[2] He taught at UC Berkeley, the University of Chicago and University of California, Los Angeles, where he was a full professor of computer science.[2][12][13] He held a Research Fellowship in the Mathematical Sciences at the IBM Watson Research Center, where he organised the ""ADJ"" group.[12] He also visited the University of",137
Gold,0,"In 1956, he got a B.S. in mathematics from the California Institute of Technology, in 1958, he got a M.S. in physics from Princeton University.[9]: vi In Jan 1965, got his Ph.D. from UCLA, supervised by Abraham Robinson.[13][9]: i [14][3]: 403",7
Goldberg,0,"Goldberg was born in Cleveland, Ohio, on July 22, 1945. Her parents moved to Chicago, Illinois when she was 11, where she spent the rest of her childhood.[1] She enjoyed problem solving and mathematics from a young age and was encouraged by her teachers to pursue mathematics.[1] In 1967, she earned a bachelor's degree in mathematics at the University of Michigan.[2] Interested in the subject of computing, Goldberg worked as an intern with IBM during the summer of her junior year of college, where she learned how to program unit",36
Goldberg,1,"Goldberg did his undergraduate studies at the Massachusetts Institute of Technology, graduating in 1982. After earning a master's degree at the University of California, Berkeley, he returned to MIT with funding from a prestigious Hertz Fellowship, finishing his doctorate there in 1987 with a thesis on the Efficient graph algorithms for sequential and parallel computers[3] supervised by Charles E. Leiserson.[G87][1]",150
Goldberg,0,"He attended high school at the University of Toronto Schools, graduating in 1991. In 1995, he received a B.Math from the University of Waterloo in pure mathematics and computer science. He obtained a Ph.D. from the University of California, Berkeley in December 2000. His thesis was entitled A Pseudonymous Communications Infrastructure for the Internet.[5] His advisor was Eric Brewer.",146
Goldsmith,0,"Goldsmith graduated from Princeton University in 1982, with a bachelor's degree in mathematics.[1] She completed her Ph.D. at the University of Wisconsin–Madison in mathematics (with a minor in computer science) in 1988. Her dissertation, Polynomial Isomorphisms and Near-Testable Sets, was supervised by Deborah Joseph.[2] After short-term positions as a lecturer at the University of Wisconsin-Madison, research instructor at Dartmouth College, and NSF visiting professor at Boston University, she joined the computer science faculty at the University of Manitoba in 1991. She moved to the University of Kentucky in 1993.[1]",165
Goldreich,1,"Goldreich received a DSc in computer science at Technion in 1983 under Shimon Even.[2][3] Goldreich has contributed to the development of pseudorandomness,[4][5] zero knowledge proofs,[6] secure function evaluation,[7] property testing,[8] and other areas in cryptography[9][10] and computational complexity.[11][12][13] Goldreich has also authored several books including: Foundations of Cryptography[14] which comes in two volumes (volume 1 in 2001[15] and volume 2 in 2004), Computational Complexity: A Conceptual Perspective[16] (2008), and Modern Cryptography, Probabilistic Proofs and Pseudorandomness[17] (1998).[15]",528
Goldwasser,13,"Born in New York City, Goldwasser obtained her Bachelor of Science degree in 1979 in mathematics and science from Carnegie Mellon. She continued her studies in computer science at Berkeley, receiving a Master of Science degree in 1981 and a PhD in 1984. While at Berkeley, she and her doctoral advisor, Manuel Blum, would propose the Blum-Goldwasser cryptosystem.[3]",234
Golumbic,0,"Golumbic majored in mathematics at Pennsylvania State University, graduating in 1970 with bachelor's and master's degrees.[3] He completed his Ph.D. at Columbia University in 1975, with the dissertation Comparability Graphs and a New Matroid supervised by Samuel Eilenberg.[4] He became an assistant professor in the Courant Institute of Mathematical Sciences of New York University from 1975 until 1980, when he moved to Bell Laboratories. From 1983 to 1992 he worked for IBM Research in Israel, and from 1992 to 2000 he was a professor of mathematics and computer science at",109
Gonnet,0,Gonnet received his doctorate in computer science from the University of Waterloo in 1977. His thesis was entitled Interpolation and Interpolation-Hash Searching. His advisor was J. Alan George.[7],102
Goodfellow,0,"Goodfellow obtained his B.S. and M.S. in computer science from Stanford University under the supervision of Andrew Ng (co-founder and head of Google Brain), and his Ph.D. in machine learning from the Université de Montréal in April 2014, under the supervision of Yoshua Bengio and Aaron Courville.[6][7] Goodfellow's thesis is titled Deep learning of representations and its application to computer vision.[8][9]",2
Graham,0,"Graham and his family moved to Pittsburgh, Pennsylvania in 1968, where he later attended Gateway High School. Graham gained interest in science and mathematics from his father who was a nuclear physicist.[8] Graham received a Bachelor of Arts with a major in philosophy from Cornell University in 1986.[9][10][11] He then received a Master of Science in 1988 and a Doctor of Philosophy in 1990, both in computer science from Harvard University.[9][12] Graham has also studied painting at the Rhode Island School of Design and at the Accademia di Belle Arti",48
Graham,5,"Born in Cleveland, Graham received her A.B. in mathematics from Harvard in 1964.[4] She did her graduate work in computer science at Stanford, receiving her M.S. in 1966 and her Ph.D. in 1971 under the supervision of David Gries.[5] In 1971 she joined the faculty of the University of California, Berkeley, rising from assistant professor (1971–1976), through associate professor (1976–1981) to full professor from 1981 onwards. Graham's research projects include: Graham was the founding editor of the ACM Transactions on Programming Languages and Systems.[2] Graham has published dozens of research",75
Gruber,0,"Gruber studied psychology and computer science at the Loyola University New Orleans, where he received a double major B.S. in 1981 and graduated summa cum laude. He designed and implemented a computer-assisted instruction (CAI) system for programmed-curriculum courses. It was the first of its kind at the university and is used routinely by the Psychology department for introductory courses. In 1984 he received a M.S. in Computer and Information Science at the University of Massachusetts Amherst. For his Master's research, Gruber designed and implemented an intelligent communication prosthesis assistant, a",25
Guha,0,"Guha did his schooling from Loyola High School, Pune and graduated with Bachelor of Technology in Mechanical Engineering from the Indian Institute of Technology Madras, Master of Science from University of California, Berkeley and Ph.D from Stanford University.[1][7]",39
Gunther,0,"Gunther is an Australian of German and Scots ancestry, born in Melbourne on 15 August 1950. He attended Preston East Primary School from 1955 to 1956, and Balwyn North Primary School from 1956 until 1962. For his tenth birthday, Gunther received a copy of the now famous book entitled The Golden Book of Chemistry Experiments from an older cousin. Inspired by the book, he started working on various experiments, making use of various chemicals that could be found around in his house. After he spilled some potassium permanganate solution on",58
Gutknecht,4,"Jürg Gutknecht was born in Bülach. He was full professor in the computer science department at the Eidgenössische Technische Hochschule (ETH Zurich) until April 2014. From 1967 to 1970, he was a member of the real-time computing system programming group at Swissair. Then he studied mathematics at the ETH and worked in parallel at International Business Machines (IBM) as a student employee. In 1978, he received his Doctor of Philosophy (Ph.D.) in mathematics. He joined Niklaus Wirth's research team in 1981, working on the Lilith computer and Modula-2. After a",46
Hall,1,"Wendy Hall was born in west London and educated at Ealing Grammar School for Girls. She studied for undergraduate and postgraduate degrees in mathematics at the University of Southampton. She completed her Bachelor of Science (BSc) degree in 1974, and her Doctor of Philosophy (PhD) degree in 1977.[5] Her doctoral thesis was titled Automorphisms and coverings of Klein surfaces.[9] She later completed a Master of Science degree in Computing at City University London.[5][2]",271
Halpern,3,"Halpern graduated in 1975 from University of Toronto with a B.S. in mathematics. He went on to earn a Ph.D. in mathematics from Harvard University in 1981 under the supervision of Albert R. Meyer and Gerald Sacks. He has written three books, Actual Causality, Reasoning about Uncertainty, and Reasoning About Knowledge and is a winner of the 1997 Gödel Prize in theoretical computer science and the 2009 Dijkstra Prize in distributed computing. From 1997 to 2003, he was editor-in-chief of the Journal of the ACM.[1] In 2002, he was inducted",628
Hamilton,1,"Margaret Elaine Heafield was born August 17, 1936, in Paoli, Indiana,[5] to Kenneth Heafield and Ruth Esther Heafield (née Partington).[6][7] The family later moved to Michigan,[8] where Margaret graduated from Hancock High School in 1954.[6] She studied mathematics at the University of Michigan in 1955 before transferring to Earlham College, where her mother had been a student;[9][10] she earned a BA in mathematics with a minor in philosophy in 1958.[9][11] She cites Florence Long, the head of the math department at Earlham, as helping with her desire to pursue abstract",117
Han,0,"Born in Shanghai on 10 August 1949,[3] Han received his BS from University of Science and Technology of China in 1979[4] and earned his PhD from the University of Wisconsin-Madison in Computer Science in 1985.[5] Currently he is a professor at the Department of Computer Science in the University of Illinois at Urbana-Champaign, where he teaches courses on Data Mining, Text Mining, and Information Networks. Han served as the Director of Information Network Academic Research Center (INARC) supported by Network Science Collaborative Technology Alliance (NSCTA) program of U.S. Army Research",1
Harary,0,"Frank Harary was born in New York City, the oldest child to a family of Jewish immigrants from Syria and Russia. He earned his bachelor's and master's degrees from Brooklyn College in 1941 and 1945 respectively[2] and his Ph.D., with supervisor Alfred L. Foster, from University of California, Berkeley in 1948. Prior to his teaching career he became a research assistant in the Institute of Social Research at the University of Michigan. Harary's first publication, ""Atomic Boolean-like rings with finite radical"", went through much effort to be put into the",117
Harris,0,"Harris was born in 1929. He was brought up in London, where he took degrees in Classical Arabic[1] and in Middle East History at the School of Oriental and African Studies. He also studied at the American University in Cairo, and did postgraduate work on Lebanese history under Bernard Lewis, the leading Western authority on the Ottoman Empire. Lewis arranged for him to do research in the archives of the Quai d'Orsay in Paris.",3
Hawryszkiewycz,0,"Hawryszkiewycz obtained his PhD in computer science from Massachusetts Institute of Technology in 1973[4] with the thesis, entitled ""Semantics of data base systems.""[5] developed within the Project MAC. Hawryszkiewycz started his academic career as lecturer in information Systems at the University of Canberra in 1975. Since 1986 he is Professor at the University of Technology, Sydney and Head of its Department of Information Systems. From 1989 to 1993 he also directed its Key Center of Advanced Computing Sciences.[4] Hawryszkiewycz's research interest is focussed on ""developing design thinking environments to provide",2
Hendler,0,"Hendler completed his Doctor of Philosophy degree at Brown University in 1986 with a thesis on automated planning and scheduling.[3] He also has an MS (1981) in Cognitive Psychology from Southern Methodist University, a MSc (1983) from Brown University, and a BS (1978) from Yale University.",308
Hennessy,11,"Hennessy was raised in Huntington, New York, as one of six children.[10] His father was an aerospace engineer, and his mother was a teacher before raising her children.[10] He is of Irish-Catholic descent, with some of his ancestors arriving in America during the potato famine in the 19th century. [18] He earned his bachelor's degree in electrical engineering from Villanova University, and his master's degree and Doctor of Philosophy in computer science from Stony Brook University.[6][19][20]",113
Herbert,0,"Herbert received a bachelor's of science degree in computational science from the Leeds University in 1975, and a PhD degree in computer science from Cambridge University in 1978 for his work on ""A Microprogrammed Operating System Kernel"". In 1978 he started working at the University of Cambridge Computer Laboratory as assistant lecturer under Maurice Wilkes and Roger Needham in the Computer Laboratory, and worked with others on the ""Cambridge Model Distributed System"". In 1985 he left Cambridge to found his own contract research company (Architecture Projects Ltd – APM Ltd),",19
Hewitt,0,"Hewitt obtained his PhD in mathematics at MIT in 1971, under the supervision of Seymour Papert, Marvin Minsky, and Mike Paterson. He began his employment at MIT that year,[8] and retired from the faculty of the MIT Department of Electrical Engineering and Computer Science during the 1999–2000 school year.[9] He became emeritus in the department in 2000.[10] Among the doctoral students that Hewitt supervised during his time at MIT are Gul Agha, Henry Baker, William Clinger, Irene Greif, and Akinori Yonezawa.[11] From September 1989 to August 1990, Hewitt was the",63
Hightower,0,"Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.[3]",4
Hillis,2,"Born September 25, 1956, in Baltimore, Maryland, Danny Hillis spent much of his childhood living overseas, in Europe, Africa, and Asia. He attended the Massachusetts Institute of Technology (MIT) and received his bachelor of science in mathematics in 1978. As an undergraduate, he worked at the MIT Logo Laboratory under the tutelage of Seymour Papert, developing computer hardware and software for children.[5] During this time, he also designed computer-oriented toys and games for the Milton Bradley Company. While still in college, he co-founded Terrapin Inc., a producer of computer software,",1
Hinton,9,"Hinton was educated at Clifton College in Bristol[33] and King's College, Cambridge. After repeatedly changing his degree between different subjects like natural sciences, history of art, and philosophy, he eventually graduated in 1970 with a bachelor of arts in experimental psychology.[11] He continued his study at the University of Edinburgh where he was awarded a PhD in artificial intelligence in 1978 for research supervised by Christopher Longuet-Higgins.[2][34]",295
Hirschberg,9,"Julia Linn Bell Hirschberg received her first Ph.D degree in History (16th-century Mexico) from University of Michigan in 1976. She served on the History faculty of Smith College from 1974 to 1982. She subsequently shifted to Computer Science studies, receiving her M.S. in Computer and Information Science from University of Pennsylvania in 1982 and a Ph.D in Computer and Information Science from University of Pennsylvania in 1985. Upon graduation from University of Pennsylvania in 1985, Hirschberg joined AT&T Bell Labs as a Member of Technical staff in the Linguistics Research",230
Ho,0,Ho completed her undergraduate education at the Chinese University of Hong Kong in 1984. She received a Ph.D. in computer science from State University of New York at Buffalo in 1992.[1],95
Hoare,7,"Tony Hoare was born in Colombo, Ceylon (now Sri Lanka) to British parents; his father was a colonial civil servant and his mother was the daughter of a tea planter. Hoare was educated in England at the Dragon School in Oxford and the King's School in Canterbury.[13] He then studied Classics and Philosophy (""Greats"") at Merton College, Oxford.[14] On graduating in 1956 he did 18 months National Service in the Royal Navy,[14] where he learned Russian.[15] He returned to the University of Oxford in 1958 to study for a postgraduate",195
Holberton,4,"Holberton was born Frances Elizabeth Snyder in Philadelphia, Pennsylvania in 1917. Her father was John Amos Snyder (1884–1963), her mother was Frances J. Morrow (1892–1981), and she was the third child in a family of eight children. Holberton studied journalism, because its curriculum let her travel far afield.[2] Journalism was also one of the few fields open to women as a career in the 1940s.[3] On her first day of classes at the University of Pennsylvania, her math professor asked her if she wouldn't be better off at home raising",1
Holland,2,"John Henry Holland was born on 2 February 1929 in Fort Wayne, Allen County, Indiana,[3] son of Gustave A. Holland (b. 24 July 1896 in Russian Poland; only son of Christopher Holland and Appolonia Greiber / Graeber; three sisters) and Mildred P. Gfroerer (b. 1 July 1901 in Columbus Grove, Ohio; the second of three daughters of John Joseph Gfroerer and Ila Savilla ""Ily S."" Kiefer).[4] He had one younger sister, Shirley Ann ""Hollie"" Holland (b. about 1931; m1. c.1955 John William Ringgenberg (div. bef. 3 Aug 1968, d. 1982),",0
Hollerith,3,"Herman Hollerith was the son of German immigrant Georg Hollerith, a school teacher from Großfischlingen, Rhineland-Palatinate. He was born in Buffalo, New York, in 1860, where he also spent his early childhood.[4] He entered the City College of New York in 1875, graduated from the Columbia School of Mines with an Engineer of Mines degree in 1879 at age 19, and, in 1890, earned a Doctor of Philosophy based on his development of the tabulating system.[1][5] In 1882, Hollerith joined the Massachusetts Institute of Technology where he taught mechanical engineering",0
Holzmann,1,"Holzmann was born in Amsterdam, Netherlands and received an Engineer's degree in electrical engineering from the Delft University of Technology in 1976. He subsequently also received his PhD degree from Delft University in 1979 under Willem van der Poel and J.L. de Kroes with a thesis entitled Coordination problems in multiprocessing systems. After receiving a Fulbright Scholarship he was a post-graduate student at the University of Southern California for another year, where he worked with Per Brinch Hansen. In 1980 he started at Bell Labs in Murray Hill for a",148
Hopcroft,8,"He received his bachelor's degree from Seattle University in 1961.[6] He received his master's degree and Ph.D. from Stanford University in 1962 and 1964, respectively. He worked for three years at Princeton University and since then has been at Cornell University. Hopcroft is the grandson of Jacob Nist, founder of the Seattle-Tacoma Box Company.[7]",203
